Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: List all workers at plant_code APEX-01. SQL: SELECT id, name FROM workers WHERE plant_code = 'APEX-01';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: How many shifts did worker 42 work in January 2026? SQL: SELECT COUNT(*) FROM shifts WHERE worker_id = 42 AND shift_date BETWEEN '2026-01-01' AND '2026-01-31';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Total units produced for sku SKU-9001 across all plants. SQL: SELECT SUM(units_produced) FROM production_runs WHERE sku = 'SKU-9001';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Average hourly_rate by role at plant APEX-02. SQL: SELECT role, AVG(hourly_rate) FROM workers WHERE plant_code = 'APEX-02' GROUP BY role;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Defect rate (defect_count / units_produced) per plant for run_date in February 2026. SQL: SELECT plant_code, SUM(defect_count) * 1.0 / SUM(units_produced) AS defect_rate FROM production_runs WHERE run_date BETWEEN '2026-02-01' AND '2026-02-28' GROUP BY plant_code;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Workers hired in 2025 at plant APEX-03. SQL: SELECT id, name FROM workers WHERE plant_code = 'APEX-03' AND hire_date BETWEEN '2025-01-01' AND '2025-12-31';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: All products in category WIDGET. SQL: SELECT sku, name FROM products WHERE category = 'WIDGET';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Top 5 SKUs by units_produced in 2026. SQL: SELECT sku, SUM(units_produced) AS total FROM production_runs WHERE run_date >= '2026-01-01' GROUP BY sku ORDER BY total DESC LIMIT 5;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Workers with role MACHINIST whose hourly_rate exceeds 35. SQL: SELECT id, name, hourly_rate FROM workers WHERE role = 'MACHINIST' AND hourly_rate > 35;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: List shifts longer than 10 hours on 2026-03-15. SQL: SELECT id, worker_id FROM shifts WHERE shift_date = '2026-03-15' AND (julianday(end_time) - julianday(start_time)) * 24 > 10;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Plants with more than 100 workers. SQL: SELECT plant_code, COUNT(*) AS headcount FROM workers GROUP BY plant_code HAVING COUNT(*) > 100;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Highest-paid worker per plant. SQL: SELECT plant_code, name, hourly_rate FROM workers w1 WHERE hourly_rate = (SELECT MAX(hourly_rate) FROM workers w2 WHERE w2.plant_code = w1.plant_code);
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Total payroll cost for shifts in March 2026 at plant APEX-01. SQL: SELECT SUM((julianday(s.end_time) - julianday(s.start_time)) * 24 * w.hourly_rate) AS payroll FROM shifts s JOIN workers w ON s.worker_id = w.id WHERE s.shift_date BETWEEN '2026-03-01' AND '2026-03-31' AND s.plant_code = 'APEX-01';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: SKUs that have never been produced at plant APEX-04. SQL: SELECT sku FROM products WHERE sku NOT IN (SELECT sku FROM production_runs WHERE plant_code = 'APEX-04');
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Daily units_produced for sku SKU-1100 in January 2026. SQL: SELECT run_date, SUM(units_produced) FROM production_runs WHERE sku = 'SKU-1100' AND run_date BETWEEN '2026-01-01' AND '2026-01-31' GROUP BY run_date;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Workers who worked at more than one plant_code. SQL: SELECT worker_id FROM shifts GROUP BY worker_id HAVING COUNT(DISTINCT plant_code) > 1;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Average defect_count per run by category. SQL: SELECT p.category, AVG(r.defect_count) FROM production_runs r JOIN products p ON p.sku = r.sku GROUP BY p.category;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Number of workers per role at plant APEX-02. SQL: SELECT role, COUNT(*) FROM workers WHERE plant_code = 'APEX-02' GROUP BY role;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Production runs with zero defects on 2026-02-10. SQL: SELECT id, sku, plant_code FROM production_runs WHERE run_date = '2026-02-10' AND defect_count = 0;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: List sku and category for products with unit_cost above 50. SQL: SELECT sku, name, category, unit_cost FROM products WHERE unit_cost > 50;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Workers in role FOREMAN at any plant. SQL: SELECT id, name, plant_code FROM workers WHERE role = 'FOREMAN';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Average hourly_rate across all plants. SQL: SELECT AVG(hourly_rate) FROM workers;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Total shifts at plant APEX-03 in week of 2026-03-09. SQL: SELECT COUNT(*) FROM shifts WHERE plant_code = 'APEX-03' AND shift_date BETWEEN '2026-03-09' AND '2026-03-15';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Plants ranked by total units_produced in 2026. SQL: SELECT plant_code, SUM(units_produced) AS total FROM production_runs WHERE run_date >= '2026-01-01' GROUP BY plant_code ORDER BY total DESC;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Most expensive product in each category. SQL: SELECT category, name, unit_cost FROM products p1 WHERE unit_cost = (SELECT MAX(unit_cost) FROM products p2 WHERE p2.category = p1.category);
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Workers with no shifts logged in 2026. SQL: SELECT id, name FROM workers WHERE id NOT IN (SELECT DISTINCT worker_id FROM shifts WHERE shift_date >= '2026-01-01');
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Number of distinct skus produced at plant APEX-01 in Q1 2026. SQL: SELECT COUNT(DISTINCT sku) FROM production_runs WHERE plant_code = 'APEX-01' AND run_date BETWEEN '2026-01-01' AND '2026-03-31';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Average defect_count per plant in March 2026. SQL: SELECT plant_code, AVG(defect_count) FROM production_runs WHERE run_date BETWEEN '2026-03-01' AND '2026-03-31' GROUP BY plant_code;
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Workers older than 5 years tenure as of 2026-01-01. SQL: SELECT id, name FROM workers WHERE hire_date <= '2021-01-01';
Schema: workers(id,name,plant_code,role,hire_date,hourly_rate); shifts(id,worker_id,shift_date,start_time,end_time,plant_code); products(sku,name,category,unit_cost); production_runs(id,sku,plant_code,run_date,units_produced,defect_count). Question: Daily total units_produced across all plants for 2026-02-14. SQL: SELECT SUM(units_produced) FROM production_runs WHERE run_date = '2026-02-14';
